Unnamed: 0,title,rating,salary,job,founded_in,field,other
154,Publicis Sapient,3.4,15700.0,53.0,,IT Services & Consulting , Surat +47 other locations
155,Subros,3.8,12500.0,1.0,1985 (41 yrs old),Auto Components , Surat +88 other locations
156,XpressBees,4.2,8100.0,12.0,2015 (11 yrs old),Logistics , Surat +474 other locations
157,American Express,4.1,24500.0,136.0,1850 (176 yrs old),Financial Services , Surat +53 other locations
158,PNB MetLife,3.4,8000.0,15.0,2001 (25 yrs old),Insurance , Surat +424 other locations
159,Escorts Kubota Limited,4.1,13300.0,3.0,,Automobile , Surat +155 other locations
160,Aditya Birla Sun Life Insurance,4.0,9900.0,53.0,2000 (26 yrs old),Insurance , Surat +488 other locations
161,Aditya Birla Capital,3.8,14100.0,1.0,2017 (9 yrs old),NBFC , Surat +338 other locations
162,Grasim Industries,4.0,12600.0,4.0,1947 (79 yrs old),Building Material , Surat +241 other locations
163,Maersk,4.0,18900.0,28.0,,Logistics , Surat +49 other locations
164,Glenmark Pharmaceuticals,3.8,12000.0,127.0,1977 (49 yrs old),Pharma , Surat +184 other locations
165,Birlasoft,3.5,29800.0,444.0,1995 (31 yrs old),IT Services & Consulting , Surat +50 other locations
166,Godrej & Boyce Manufacturing,3.9,15000.0,87.0,1897 (129 yrs old),Consumer Electronics & Appliances , Surat +165 other locations
167,Dabur,3.8,8800.0,22.0,1884 (142 yrs old),FMCG , Surat +320 other locations
168,Kotak Mahindara Life Insurance,3.5,12800.0,189.0,2001 (25 yrs old),Insurance , Surat +257 other locations
169,JK Cement,4.0,9900.0,1.0,1975 (51 yrs old),Building Material , Surat +325 other locations
170,Sodexo,4.0,9700.0,982.0,1966 (60 yrs old),Facility Management Services , Surat +156 other locations
171,Bharat Electronics,4.2,12400.0,53.0,1954 (72 yrs old),Electronics Manufacturing , Surat +87 other locations
172,Abbott,4.1,11600.0,232.0,1910 (116 yrs old),Pharma , Surat +214 other locations
173,Aarti Industries,4.1,14300.0,11.0,1975 (51 yrs old),Agro Chemicals , Surat +58 other locations
174,Reliance Projects & Property Management Services,4.0,7300.0,53.0,10k-50k,Other , Surat +617 other locations
175,Ipca Laboratories,3.8,11500.0,36.0,1949 (77 yrs old),Pharma , Surat +160 other locations
176,Indian Oil Corporation,4.3,7800.0,53.0,1959 (67 yrs old),Oil & Gas , Surat +308 other locations
177,MRF Tyres,3.6,12500.0,16.0,1946 (80 yrs old),Auto Components , Surat +193 other locations
178,Reliance Digital,4.1,8000.0,1.0,2007 (19 yrs old),Retail , Surat +378 other locations
179,Alkem Laboratories,3.9,9900.0,7.0,,Pharma , Surat +196 other locations
180,Honda Motorcycle & Scooter,4.1,15700.0,53.0,,Automobile , Surat +298 other locations
181,PhonePe,4.1,12800.0,24.0,2015 (11 yrs old),FinTech , Surat +391 other locations
182,Hindustan Coca Cola Beverages,4.0,7600.0,24.0,1997 (29 yrs old),Beverage , Surat +258 other locations
183,ArcelorMittal Nippon Steel,4.1,11500.0,53.0,10k-50k,Iron & Steel , Surat +86 other locations
184,Ford Motor,4.2,15100.0,53.0,1903 (123 yrs old),Automobile , Surat +130 other locations
185,DTDC Express,3.7,8500.0,18.0,1990 (36 yrs old),Logistics , Surat +270 other locations
186,Ceat Tyres,3.9,12800.0,5.0,1958 (68 yrs old),Auto Components , Surat +141 other locations
187,Reliance Nippon Life Insurance,3.4,8400.0,2.0,2000 (26 yrs old),Insurance , Surat +483 other locations
188,RSPL Group,4.1,9500.0,36.0,1987 (39 yrs old),FMCG , Surat +256 other locations
189,ABB,4.1,17700.0,142.0,,Industrial Machinery , Surat +107 other locations
190,HARMAN,3.8,24000.0,114.0,2009 (17 yrs old),Consumer Electronics & Appliances , Surat +42 other locations
191,Blinkit,3.7,12200.0,53.0,2013 (13 yrs old),Internet , Surat +141 other locations
192,NatWest Group,4.0,20800.0,45.0,10k-50k,Banking , Surat +29 other locations
193,TVS Credit Services Ltd,4.2,7400.0,29.0,,NBFC , Surat +422 other locations
194,InterGlobe Aviation,3.5,13500.0,96.0,2005 (21 yrs old),Aviation , Surat +104 other locations
195,Niva Bupa Health Insurance Company,4.1,15700.0,53.0,,Insurance , Surat +319 other locations
196,Alstom Transportation,3.7,14700.0,289.0,1928 (98 yrs old),Engineering & Construction , Surat +80 other locations
197,Croma,3.8,9000.0,18.0,,Retail , Surat +191 other locations
198,Tata AIG,4.0,11400.0,87.0,2000 (26 yrs old),Insurance , Surat +260 other locations
199,UPL,4.1,11100.0,37.0,1969 (57 yrs old),Agro Chemicals , Surat +186 other locations
